#{"t_start": 1744852308.4564278, "env_id": "None"}
r,l,t
-23.0,395,3460.616528
-22.5,381,3471.635663
-21.5,376,3475.058448
-19.5,394,3478.319183
-20.5,382,3480.012415
-21.5,372,3489.279639
-21.0,365,3492.695561
-19.5,360,3496.32284
-21.0,383,3497.819324
-20.0,354,3508.566982
-21.5,374,3515.75415
-20.5,368,3519.568891
-20.5,385,3521.413314
-21.5,377,3531.977609
-23.0,393,3537.413383
-21.0,395,3540.905527
-20.5,374,3541.724429
-21.5,384,3551.518102
-22.0,385,3558.023181
-21.0,365,3561.772442
-22.0,390,3564.049365
-21.0,388,3575.257601
-21.0,362,3580.687243
-20.5,380,3584.023479
-21.5,386,3586.182638
-21.5,385,3597.590559
-22.5,387,3603.663029
-22.5,381,3607.231214
-23.5,386,3609.467213
-22.5,374,3621.991106
-21.5,383,3625.931568
-22.0,363,3629.315256
-22.5,369,3631.221452
-21.5,394,3642.363112
-21.0,381,3646.278134
-21.5,390,3648.602628
-20.5,381,3650.84213
-23.0,398,3660.91396
-21.5,379,3664.86505
-22.5,391,3667.042754
-22.0,401,3669.215398
-21.5,390,3682.081226
-20.0,401,3687.200903
-21.0,385,3689.664468
-21.5,379,3693.031072
-22.5,384,3706.909692
-20.5,411,3710.622426
-22.0,383,3713.242169
-23.0,399,3716.837047
-20.5,380,3728.055968
-22.5,376,3731.360427
-20.5,395,3734.17729
-22.0,396,3736.085438
-20.0,409,3750.235899
-22.0,399,3754.152165
-20.5,403,3756.536709
-21.5,395,3758.36849
-21.0,408,3771.32462
-21.5,384,3774.842201
-22.0,397,3777.128762
-20.5,400,3780.113857
-21.5,385,3793.023991
-22.0,388,3795.689146
-22.0,393,3799.521474
-22.0,412,3803.454016
-20.5,411,3814.612149
-21.5,394,3816.047193
-21.5,390,3819.644016
-20.5,402,3824.631268
-21.5,395,3834.943509
-20.5,409,3837.205712
-21.5,388,3839.308161
-21.0,396,3843.506297
-22.0,411,3855.584065
-21.0,402,3858.899921
-20.5,392,3860.971025
-22.0,410,3866.225927
-21.5,394,3876.422035
-22.0,400,3878.228628
-21.0,402,3882.322301
-22.0,415,3888.096297
-21.5,408,3897.587127
-20.0,413,3901.31973
-19.5,404,3903.592976
-47.5,385,3909.374384
-19.5,402,3920.930677
-22.5,403,3925.274844
-21.5,405,3927.170378
-21.0,389,3931.347214
-21.0,389,3946.148087
-20.0,390,3949.599781
-48.0,393,3951.750087
-20.5,382,3955.897583
-20.5,392,3970.756311
-20.5,389,3973.195785
-21.5,397,3975.26297
-21.0,370,3979.524889
-21.0,384,3993.580446
-21.0,384,3995.918735
-21.0,388,3998.244421
-48.5,389,4001.327736
-21.0,366,4013.850878
-20.5,360,4017.842959
-21.0,388,4020.925836
-22.5,379,4023.319498
-21.5,378,4038.173146
-21.5,394,4042.462027
-21.0,371,4044.38445
-21.5,381,4048.377627
-20.5,406,4061.195499
-21.5,406,4063.099025
-20.0,394,4065.600255
-21.0,390,4069.823629
-19.5,385,4084.072252
-19.5,391,4086.476067
-22.5,400,4090.56049
-22.5,382,4093.491907
-21.0,379,4107.425143
-20.0,386,4111.468006
-20.0,385,4114.120085
-21.0,401,4116.506607
-21.5,397,4130.441007
-21.0,374,4134.032291
-21.0,395,4136.249713
-23.0,402,4138.46665
-21.0,394,4153.456555
-20.5,400,4158.434246
-20.5,361,4160.593517
-48.0,395,4164.570211
-22.0,401,4178.78492
-21.5,412,4183.445541
-21.0,409,4185.459295
-20.0,398,4189.360454
-21.5,404,4203.951513
-21.0,395,4207.321526
-20.5,397,4209.452147
-21.5,397,4213.256181
-21.5,385,4230.008746
-20.0,399,4233.750662
-21.0,397,4235.923731
-20.5,393,4240.245128
-19.5,388,4253.745334
-20.5,395,4257.913191
-20.5,402,4259.983679
-21.0,381,4262.775119
-19.5,392,4277.53101
-20.5,384,4283.447768
-22.0,383,4285.723997
