#{"t_start": 1744830877.801953, "env_id": "None"}
r,l,t
49.763,238,1953.738625
-44.223,224,1955.150662
49.729,272,1957.842697
-48.231,232,1958.510534
49.767,234,1964.977026
49.763,238,1966.029214
49.774,227,1968.813245
49.746998,254,1968.994801
-48.233,234,1976.177457
47.767,234,1977.366233
-52.226,227,1980.248344
-48.233,234,1981.116118
49.753998,247,1987.452141
49.782,219,1987.683838
49.789,212,1990.867144
51.764,237,1993.495872
-42.23,231,2000.142301
49.75,251,2000.785774
49.773,228,2002.339154
-52.255,256,2004.675282
49.775,226,2008.757041
49.776,225,2011.039636
51.766,235,2012.644015
49.784,217,2015.644547
49.777,224,2019.068499
51.77,231,2019.696392
49.78,221,2022.755762
49.767,234,2025.998286
49.802,199,2028.590533
49.765,236,2031.732207
-48.249,250,2034.4952
49.781,220,2035.789817
-48.234,235,2038.741382
49.776,225,2041.047724
49.808,193,2043.059482
-52.229,230,2045.410701
49.792,209,2048.550119
49.785,216,2051.539551
-48.201,202,2052.505076
49.752,249,2058.082118
-52.243,244,2058.332082
49.777,224,2061.937482
49.758,243,2062.479825
49.77,231,2068.176738
49.801,200,2068.371817
-48.227,228,2073.159576
49.761,240,2074.393391
-48.215,216,2078.162088
-52.272,273,2080.047498
49.806,195,2080.24742
49.792,209,2082.93364
49.77,231,2089.554359
49.792,209,2091.138503
47.757,244,2092.363595
49.751,250,2095.243537
-52.239,240,2100.665293
49.777,224,2100.855946
49.797,204,2102.141494
49.773,228,2105.886228
49.795,206,2109.563601
49.779,222,2111.659836
51.786,215,2112.289112
-48.207,208,2116.075943
-52.226,227,2122.381728
49.788,213,2123.769468
49.764,237,2123.949047
47.764,237,2128.339257
-52.21,211,2133.381392
-54.261,262,2133.588168
49.761,240,2133.78573
49.758,243,2138.503588
49.765,236,2143.928572
49.787,214,2144.115498
-52.273,274,2144.401005
49.807,194,2146.488834
49.775,226,2151.779135
49.766,235,2152.111295
49.788,213,2153.382558
49.784,217,2155.006934
49.784,217,2162.301463
51.76,241,2164.611079
49.785,216,2164.810638
51.764,237,2167.56755
47.755,246,2174.951472
49.773,228,2175.175084
49.761,240,2175.37715
49.799,202,2176.884338
49.805,196,2184.183418
49.767,234,2184.41488
49.815998,185,2185.408838
49.775,226,2185.604228
51.811,190,2191.442211
49.791,210,2194.158534
49.771,230,2194.370164
49.776,225,2194.577708
49.795,206,2200.319591
49.788,213,2203.438667
-52.225,226,2203.662822
49.749,252,2203.89897
49.778,223,2211.477393
49.797,204,2214.308478
49.778,223,2214.930412
51.78,221,2215.762038
49.789,212,2221.926752
-52.212,213,2226.702915
-52.24,241,2226.906491
49.724,277,2228.276338
-52.265,266,2233.527033
49.755,246,2236.013262
49.743,258,2237.38515
-48.248,249,2238.962994
49.759,242,2244.193179
49.793,208,2247.166545
49.774,227,2247.404226
-48.21,211,2248.653974
53.79,211,2255.803703
49.794,207,2258.984027
49.784,217,2259.468452
-48.22,221,2261.360611
49.774,227,2266.530089
49.779,222,2269.402165
49.745,256,2269.669561
49.736,265,2271.448416
49.783,218,2276.577138
49.751,250,2279.780672
49.769,232,2282.123056
49.784,217,2282.506193
49.773,228,2287.31214
-48.197,198,2288.964971
51.794,207,2290.614772
-52.226,227,2292.332692
-48.218,219,2297.544568
51.766,235,2300.89391
51.762,239,2302.823545
49.769,232,2303.093559
49.774,227,2308.513978
49.806,195,2310.397233
49.797,204,2312.220705
49.781,220,2315.891973
49.784,217,2318.607658
47.8,201,2320.389421
49.796,205,2322.069726
47.753998,247,2326.182313
49.792,209,2328.807385
47.751,250,2330.022404
49.776,225,2331.866583
49.776,225,2336.610276
49.779,222,2341.016785
49.75,251,2341.239018
-52.247,248,2342.556468
49.817,184,2343.753448
-52.205,206,2348.345584
49.77,231,2348.623681
49.776,225,2353.339162
-48.249,250,2355.761928
47.775,226,2358.906635
49.77,231,2361.073546
49.739,262,2365.010154
49.774,227,2366.512748
49.787,214,2371.960533
-52.253002,254,2372.176812
49.743,258,2377.742852
49.752,249,2377.975595
49.788,213,2380.981899
-48.235,236,2383.028065
49.811,190,2385.330906
49.777,224,2387.934792
49.784,217,2391.71078
47.755,246,2392.462692
49.792,209,2394.035902
49.799,202,2397.935963
-52.204,205,2403.203608
49.799,202,2404.56688
49.795,206,2409.294213
51.745,256,2409.53542
49.824,177,2411.133653
49.804,197,2411.376139
49.804,197,2419.223369
49.791,210,2419.42666
49.808,193,2422.626158
49.772,229,2422.884742
49.789,212,2430.089992
49.768,233,2430.32978
49.774,227,2433.11837
49.751,250,2435.921478
49.779,222,2439.868297
49.787,214,2441.343952
49.774,227,2442.970759
49.774,227,2446.375943
49.786,215,2451.85315
49.738,263,2453.720266
49.791,210,2455.149813
-52.228,229,2457.967024
49.79,211,2461.384717
51.779,222,2464.658671
49.766,235,2467.105811
49.796,205,2469.227119
-52.207,208,2472.661752
49.794,207,2475.6806
51.764,237,2479.628565
49.736,265,2481.100549
-48.237,238,2485.049737
49.777,224,2486.591819
49.799,202,2488.678547
49.789,212,2492.334228
49.765,236,2495.854348
49.721,280,2498.700181
49.766,235,2498.949536
47.785,216,2503.601082
49.786,215,2506.83493
49.802,199,2510.93472
-52.237,238,2512.512655
49.746998,254,2515.967756
49.766,235,2517.969854
49.805,196,2519.446048
49.763,238,2523.673569
49.808,193,2526.541606
49.804,197,2528.860794
49.796,205,2532.062635
49.798,203,2534.004455
47.775,226,2536.435549
49.786,215,2539.91401
49.776,225,2542.438548
49.779,222,2545.316173
49.793,208,2548.520141
-52.218,219,2551.393183
49.802,199,2553.460504
49.767,234,2562.197613
49.782,219,2562.458958
49.807,194,2563.956646
49.777,224,2566.923907
49.805,196,2570.913858
49.791,210,2573.28215
51.802,199,2575.099727
49.779,222,2579.695213
49.768,233,2584.214677
49.797,204,2585.766173
49.788,213,2586.774009
49.78,221,2590.839641
49.778,223,2596.144911
49.789,212,2596.530082
49.796,205,2597.809899
49.822,179,2599.972607
49.799,202,2607.295205
49.785,216,2607.769444
-52.236,237,2609.167139
49.789,212,2612.187959
49.787,214,2621.103752
49.8,201,2621.353352
49.771,230,2624.798003
49.76,241,2627.344942
49.82,181,2629.298704
49.775,226,2632.614304
49.792,209,2635.077794
49.77,231,2637.145803
49.769,232,2640.335538
49.803,198,2642.356037
49.822,179,2644.303825
49.792,209,2650.094819
49.782,219,2653.760904
-52.212,213,2654.030976
49.793,208,2657.440977
49.809,192,2661.496503
49.813,188,2665.096776
51.801,200,2665.341259
49.802,199,2667.842773
49.796,205,2674.00645
49.785,216,2677.709832
49.773,228,2680.282745
49.808,193,2681.007674
49.775,226,2686.039017
47.794,207,2689.803579
-52.213,214,2690.381533
49.757,244,2691.61747
49.771,230,2696.359045
49.787,214,2700.217012
49.792,209,2700.463876
49.791,210,2700.714747
49.799,202,2708.515342
49.834,167,2708.82217
49.782,219,2712.160867
49.79,211,2712.414686
49.8,201,2718.269641
49.812,189,2721.763823
49.753998,247,2723.181756
51.794,207,2724.764054
49.82,181,2731.29246
49.786,215,2738.055077
49.787,214,2738.305091
49.759,242,2738.611488
49.772,229,2742.226385
49.804,197,2745.718223
49.789,212,2747.906603
-48.187,188,2752.173197
49.734,267,2753.245701
49.772,229,2758.711465
49.792,209,2758.96299
49.779,222,2764.025283
49.769,232,2764.306694
49.791,210,2770.042342
49.753,248,2770.336376
49.815998,185,2771.790866
47.785,216,2774.949919
-44.217,218,2782.544042
49.803,198,2784.272827
47.762,239,2790.103184
49.766,235,2790.419244
49.811,190,2794.591825
49.758,243,2796.32109
49.81,191,2798.56196
49.827,174,2799.350862
49.799,202,2804.349668
49.813,188,2806.262096
47.809,192,2809.143924
49.782,219,2811.014506
49.761,240,2817.509082
49.769,232,2819.428311
49.817,184,2819.680518
49.811,190,2821.545804
49.778,223,2831.476822
49.79,211,2831.72415
49.773,228,2833.52919
49.773,228,2833.870563
49.801,200,2843.006706
49.8,201,2844.563128
49.814,187,2845.003173
49.789,212,2848.001343
49.829,172,2851.186654
49.807,194,2854.777189
49.772,229,2855.106578
49.796,205,2859.525728
49.801,200,2863.169289
49.797,204,2865.984014
49.822,179,2871.135531
49.764,237,2871.400955
49.782,219,2877.553279
49.789,212,2878.189829
49.788,213,2882.759952
49.777,224,2883.030805
49.821,180,2886.359328
49.813,188,2889.648705
49.821,180,2892.482454
49.784,217,2894.639725
49.788,213,2897.801126
49.777,224,2902.262989
